station,name,state,country,date,tmax,tmin,tobs
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-20,66,42,53
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-21,56,39,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-22,42,35,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-23,45,37,40
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-24,43,37,38
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-25,51,33,45
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-26,53,43,44
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-27,54,37,45
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-28,52,43,47
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-29,53,44,52
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-30,63,47,63
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-31,65,47,47
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-01,49,45,46
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-02,47,41,44
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-03,51,40,46
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-04,56,44,53
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-05,56,52,55
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-06,57,39,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-07,45,34,37
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-08,48,33,47
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-09,58,43,43
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-10,49,37,45
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-11,48,29,29
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-12,34,26,26
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-13,39,22,34
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-14,50,32,42
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-15,49,40,45
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-16,61,44,61
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-17,68,44,44
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-18,44,33,33
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-19,41,30,37
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-20,45,34,42
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-21,51,42,43
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-22,43,31,31
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-23,31,18,18
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-24,28,15,23
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-25,33,23,31
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-26,35,20,20
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-27,29,16,25
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-28,34,25,27
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-29,34,24,33
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-11-30,51,32,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-01,40,35,37
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-02,39,34,36
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-03,50,36,49
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-04,57,40,43
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-05,44,23,23
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-06,23,15,15
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-07,21,11,19
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-08,26,18,26
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-09,26,5,5
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-10,23,3,17
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-11,22,4,5
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-12,21,-1,20
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-13,31,18,29
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-14,30,25,25
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-15,25,13,14
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-16,22,13,22
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-17,34,17,27
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-18,35,19,35
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-19,41,34,35
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-20,38,34,34
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-21,34,31,33
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-22,34,25,26
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-23,27,-1,2
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-24,19,0,18
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-25,28,18,26
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-26,35,16,35
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-27,44,31,41
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-28,51,36,40
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-29,40,14,15
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-30,16,5,11
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-12-31,18,5,17
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-01,24,18,21
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-02,22,8,8
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-03,21,3,20
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-04,32,20,30
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-05,30,1,1
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-06,1,-14,-9
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-07,7,-9,7
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-08,17,6,9
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-09,29,8,29
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-10,42,29,42
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-11,42,31,32
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-12,45,29,45
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-13,47,31,31
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-14,36,23,23
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-15,23,17,20
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-16,35,19,21
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-17,21,14,15
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-18,23,12,22
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-19,39,13,37
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-20,37,21,21
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-21,21,4,5
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-22,16,2,2
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-23,14,-1,-1
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-24,27,-3,26
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-25,32,8,9
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-26,33,7,8
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-27,8,-5,-5
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-28,5,-9,4
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-29,24,3,22
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-30,34,21,30
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-01-31,30,20,24
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-01,30,24,25
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-02,25,13,14
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-03,26,9,15
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-04,25,15,23
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-05,25,14,15
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-06,15,1,9
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-07,13,0,10
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-08,17,8,17
